n,p,m_total,m_count,m_mean,m_min,m_max,time_total,time_count,time_mean,time_min,time_max,calls_total,calls_count,calls_mean,calls_min,calls_max
16,30,36,1,36,36,36,0.0344712,1,0.0344712,0.0344712,0.0344712,540,1,540,540,540
16,30,37,1,37,37,37,0.0200865,1,0.0200865,0.0200865,0.0200865,447,1,447,447,447
16,30,28,1,28,28,28,0.0576859,1,0.0576859,0.0576859,0.0576859,913,1,913,913,913
16,30,46,1,46,46,46,0.111823,1,0.111823,0.111823,0.111823,1562,1,1562,1562,1562
16,30,40,1,40,40,40,0.0833857,1,0.0833857,0.0833857,0.0833857,1326,1,1326,1326,1326
16,30,43,1,43,43,43,0.190357,1,0.190357,0.190357,0.190357,1937,1,1937,1937,1937
16,30,38,1,38,38,38,0.0351902,1,0.0351902,0.0351902,0.0351902,646,1,646,646,646
16,30,32,1,32,32,32,0.0410891,1,0.0410891,0.0410891,0.0410891,531,1,531,531,531
16,30,39,1,39,39,39,0.0854199,1,0.0854199,0.0854199,0.0854199,1649,1,1649,1649,1649
16,30,33,1,33,33,33,0.0940179,1,0.0940179,0.0940179,0.0940179,1000,1,1000,1000,1000
16,30,36,1,36,36,36,0.0689633,1,0.0689633,0.0689633,0.0689633,1001,1,1001,1001,1001
